S. No.,State,Destination,LATITUDE,LONGITUDE,CULTURAL_IMPORTANCE
21,Maharashtra,Mumbai,19.054999,72.8692035,"Mumbai , also known as Bombay , is the capital city of the Indian state of Maharashtra. Mumbai is the financial capital and the most populous city proper of India with an estimated population of 12.5 million . Mumbai is the centre of the Mumbai Metropolitan Region, the sixth-most populous metropolitan area in the world with a population of over 23 million . Mumbai lies on the Konkan c... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Mumbai)"
21,Maharashtra,Pune,18.5213738,73.8545071,"Pune , previously spelled in English as Poona , is a city in the state of Maharashtra in the Deccan plateau in Western India. It is the administrative headquarters of the Pune district, and of Pune division. In terms of the total amount of land under its jurisdiction, Pune is the largest city in Maharashtra, with a geographical area of 516.18 sq km, though by population it comes in a distant second to Mumbai. According to the 2... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Pune)"
21,Maharashtra,Mumbai Suburban,19.054999,72.8692035,"Mumbai Suburban district is the second most populous district of Maharashtra in the Konkan Division. With its administrative headquarters in Bandra, the district consists of three subdivisions or tehsils : Kurla, Andheri, and Borivali. The district along with Mumbai City district and other suburban localities make up Greater Mumbai. The district occupies an area of 446 km2. This is the second smallest district of Maharashtra, and the jurisdiction of Mu... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Mumbai_Suburban_district)"
21,Maharashtra,Aurangabad,19.877263,75.3390241,"Aurangabad , officially renamed as Chhatrapati Sambhajinagar in 2023, is a city in the Indian state of Maharashtra. It is the administrative headquarters of Aurangabad district and is the largest city in the Marathwada region. Located on a hilly upland terrain in the Deccan Traps, Aurangabad is the fifth-most populous urban area in Maharashtra, after Mumbai, Pune, Nagpur and Nashik, with a population of 1,175,116. The city is a major production center of cotton textile and artistic silk fabri... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Aurangabad)"
21,Maharashtra,Ahmednagar,19.1627725,74.8580243,"Ahmednagar, officially Ahilyanagar, is a city in, and the headquarters of, the Ahmednagar district, Maharashtra, India. Ahmednagar has several dozen buildings and sites from the Nizam Shahi period. Ahmednagar Fort, once considered almost impregnable, was used by the British to house Jawaharlal Nehru and other Indian Nationalists before Indian independence. A few rooms there have been converted to a museum. During his confinement by the British at Ahmednagar Fo... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Ahmednagar)"
21,Maharashtra,Sindhudurg,16.1357193,73.6522086,"Sindhudurg Fort is a historical sea fort located in Arabian Sea near the Konkan region of Maharashtra in Western India. The fort, commissioned by Chhatrapati Shivaji, was constructed between 1664 and 1667. The fort lies off the shore of Malvan taluka of the Sindhudurg District in the Konkan region of Maharashtra, 450 kilometres south of Mumbai. It is a protected monument under the Archaeological Survey of India.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Sindhudurg_Fort)"
21,Maharashtra,Nanded,19.0940088,77.4831922,"Nanded is a city in Maharashtra state, India. It is the tenth largest city in the state and the seventy-ninth most populated city in India. It is the second largest city in Marathwada region. It is the district headquarters of Nanded district. Guru Gobind Singh established camp in Nanded and the Gurgaddi was transferred to him. One of the Panj Takhts of Sikhi, Hazur Sahib is located in the city of Nanded. It was here that Guru Gobind Singh initiated Madho Daas whom became Banda Singh Bahadur on... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Nanded)"
21,Maharashtra,Kolhapur,16.7028412,74.2405329,"Kolhapur is a city on the banks of the Panchganga River in the southern part of the Indian state of Maharashtra. Kolhapur is one of the most significant cities in South Maharashtra and has been a hub of historical, religious, and cultural activities for centuries. It is famous for its unique food culture, including its signature Kolhapuri cuisine. The city is situated in the western part of Maharashtra and is often referred to as ""Dakshin Kashi"" or ""Mahateerth"". It boasts a rich history, whic... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Kolhapur)"
21,Maharashtra,Ratnagiri,17.2826079,73.4569787,"Ratnagiri is a port city on the Arabian Sea coast in Ratnagiri District in southwestern Maharashtra, India. The district is part of Konkan division of Maharashtra. The city is known for the Hapus or Alphonso mangoes and is colloquially referred to as the Mango City. Ratnagiri is the birthplace of Indian independence activist Lokmanya Tilak. Thibaw, the last king of Burma, alongside his consort Supayalat and two infant daughters were exiled to a two-storied bric... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Ratnagiri)"
21,Maharashtra,Nagpur,21.1498134,79.0820556,"Nagpur is the winter capital and third-largest city of the Indian state of Maharashtra. It is called the heart of India because of its central geographical location. It is the largest and most populated city in central India. Also known as the ""Orange City"", Nagpur is the 13th largest city in India by population. According to an Oxford's Economics report, Nagpur is projected to be the fifth fastest growing city in the world from 2019 to 2035 with an average... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Nagpur)"
21,Maharashtra,Raigad,18.4928092,73.138071,"Raigad is renowned for the historic Raigad Fort, which was the capital of Chhatrapati Shivaji Maharaj, the founder of the Maratha Empire. The fort is a symbol of Maratha pride and resistance, and the district is significant for its role in Maharashtra's history and culture. The region is also known for its natural beauty, traditional Konkan cuisine, and vibrant local festivals."
21,Maharashtra,Nasik,19.9834939,73.8926931,"Nashik is a city in the northern region of the Indian state of Maharashtra situated on the banks of the river Godavari, about 165 km northeast of the state capital Mumbai. Nashik is one of the Hindu pilgrimage sites of the Kumbh Mela, which is held every 12 years. According to the Ramayana, Nashik is the location on the banks of the Godavari River where Lakshmana cut the nose of the demoness Shurpanakha. It is also called Panchavati. It was know... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Nashik)"
21,Maharashtra,Thane,19.1943294,72.9701779,"Thane is a metropolitan city located on the northwestern side of the state of Maharashtra in India and on the northeastern side of Mumbai. It is an immediate neighbour of Mumbai city proper, and a part of the Mumbai Metropolitan Region. It is situated in the north-eastern portion of the Salsette Island. Thane city is situated entirely within Thane taluka, one of the seven talukas of Thane district. It serves as the he... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Thane)"
21,Maharashtra,Satara,17.6361288,74.2982781,"Satara is known for its historical significance as the seat of the Maratha Empire and for the famous Ajinkyatara Fort. The district is also renowned for the Kaas Plateau, a UNESCO World Natural Heritage site, and for its traditional festivals, temples, and rich Maratha heritage."
21,Maharashtra,Wardha,20.8256231,78.6131455,"Wardha is a city and a municipal council in Wardha district in the Indian state of Maharashtra. The administrative headquarter of Wardha district is situated here. Wardha gets its name from the Wardha River which flows on the northern, western and southern boundaries of the district. Founded in 1866, the town is now an important centre for cotton trade. Wardha is also culturally significant for its association with Mahatma Gandhi, who established the Sevagram Ashram here, making it a center for India's independence movement and Gandhian philosophy."
21,Maharashtra,Chandapur,20.0179519,79.7514403,"Chandapur is a village in Nayagarh district in the state of Odisha, India. Cultural information not available. Consider adding manually."
21,Maharashtra,Osmanabad,18.2822454,76.0588166,"Osmanabad, officially known as Dharashiv, is a city and a municipal council in Osmanabad district in the Indian state of Maharashtra. The city is the administrative headquarter of Osmanabad district. It is the seventh largest city in Marathwada, and the 39th largest city in Maharashtra by population.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Osmanabad)"
21,Maharashtra,Solapur,17.8499067,75.2763203,"Solapur is a city located in the south-western region of the Indian state of Maharashtra, close to its border with Karnataka. Solapur is located on major highway, rail routes between Mumbai, Pune, Bangalore and Hyderabad, with a branch line to the cities of Kalaburagi and Vijayapura in the neighbouring state of Karnataka. Solapur domestic airport was inaugurated on 29 September 2024 . It is classified as A1 Tier and B-1 class city by House Rent Allowance classification by the Gove... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Solapur)"
21,Maharashtra,Buldhana,20.562845,76.4086986,"Buldhana is a city and a Municipal Council in the Indian state of Maharashtra, established on 17 February 1893. It is the administrative headquarters of Buldhana District in the Amravati Division. Buldhana is the second-largest city in the district after Khamgaon and is known as a hill station due to its location in the mountainous Ajanta range. The city is about 552 km from the state capital, Mumbai. Buldhana is home to several historical and tourist sites, such as the... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Buldhana)"
21,Maharashtra,Washim,20.2874178,77.2369655,Washim is a city and a Municipal Council in Washim district in the Indian state of Maharashtra. Washim is the district headquarters of Washim district.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Washim)
21,Maharashtra,Hingoli,19.5431163,77.1739432,Hingoli is a city and a municipal council in Hingoli district in the Indian state of Maharashtra... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Hingoli)
21,Maharashtra,Jalgaon,20.8428826,75.5261246,"Jalgaon is a city in the state of Maharashtra, India. The city is located in North Maharashtra in the subregion of Khandesh, and serves as the administrative headquarters of its namesake district, the Jalgaon district. In the subregion of Khandesh, Jalgaon is the largest city in Khandesh. Situated on Asian Highway 53 and 76.3 Km from 'Ajanta Caves'. The Girna river flows from the western part of the city. Jalgaon is colloquially known as the ""Banana city of India"" as the region's (Jalgaon dis... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Jalgaon)"
21,Maharashtra,Beed,18.9918442,75.909784,Beed is a city and headquarters of eponymous Beed district of Maharashtra state in India.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Beed)
22,Manipur,Imphal West,24.757326,93.8584786,"Imphal West district is one of the sixteen districts of Manipur state in northeastern India. As of 2011, it is the most populous district in the state.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Imphal_West_district)"
22,Manipur,Imphal East,24.8515402,94.0094796,"Imphal East district is one of the 16 districts of Manipur state in northeastern India. In 2011, it was the second most populous district in the state, after Imphal West. In 2016, the Jiribam subdivision, which was an exclave at the western periphery of the state, was separated as an independent district.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Imphal_East_district)"
22,Manipur,Ukhrul,25.3110738,94.4753775,"Ukhrul District(Tangkhul pronunciation:/ˈuːkˌɹəl or ˈuːkˌɹʊl/ is one of the hilly disctrict in the state of Manipur, India. Ukhrul is the home of the Tangkhul Nagas. It is the administrative headquarter of the Ukhrul district. There are also four sub-divisions in the district for administering the villages in and around it. The villages, however, are governed by the 'village heads'. It is also famous for the Shirui Lily.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Ukhrul)"
22,Manipur,Chandel,24.1700959,94.0059673,"Chandel is a town serving as the district headquarters of the Chandel district in Manipur, India. It is in the valley of the Chakpi River, a tributary of the Manipur River. As of the 2011 Census of India, Chandel had a population of 1,521 spread over 125 households. It comes under Outer Manipur . == References ==... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Chandel,_Manipur)"
22,Manipur,Churachandpur,24.3468839,93.6994143,"Churachandpur , locally known as Lamka is the second largest town in the Indian state of Manipur and the district headquarters of the Churachandpur district. The name ""Churachandpur"" was transferred from the earlier headquarters of the region at Songpi to the present location, and honours Churachand Singh, former maharaja of the Manipur princely state. The local people reject the name as a colonial imposition and prefer using the native name ""Lamka"". Churachandpur is no... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Churachandpur)"
22,Manipur,Tamenglong,24.9858596,93.5039967,Tamenglong is a town in the Naga hills of Manipur and the district headquarter of the Tamenglong district.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Tamenglong)
22,Manipur,Senapati,25.3933697,94.1505175,"Senapati is the district headquarters of Senapati district in the state of Manipur in India.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Senapati,_Manipur)"
23,Meghalaya,Shillong,25.5760446,91.8825282,"Shillong is a hill station and the capital of Meghalaya, a state in northeastern India. It is the headquarters of the East Khasi Hills district. Shillong is the 330th most populous city in India with a population of 143,229 according to the 2011 census. It is said that the rolling hills around the town reminded the British of Scotland. Hence, they would refer to it as the ""Scotland of the East"". Shillong has steadily grown in size since it was made the civil statio... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Shillong)"
23,Meghalaya,Cherapunjee,25.2986,91.5822,"Cherrapunji or Sohra is a sub-divisional town East Khasi Hills district in the Indian state of Meghalaya. It was the traditional capital of ka hima Sohra . Sohra has often been credited as being the wettest place on Earth, but currently, nearby Mawsynram holds that distinction. Sohra still holds the all-time record for the most rainfall in a calendar month and in a year, however. It received 9,300 millimetres in July 1861 and 26,461... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Cherrapunji)"
23,Meghalaya,Tura,25.5125616,90.2171526,"Tura is a municipality in the West Garo Hills district of the Indian state of Meghalaya. One of the largest towns in Meghalaya, Tura is located in the foothills of the Nokrek range of Garo Hills. The climate in Tura is moderate throughout the year, and the town has many interesting and unexplored areas. Tura is a cultural and administrative centre of the Garo tribe. It is also the district headquarters of the West Garo Hills district. It is filled with small rivulets and green val... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Tura,_Meghalaya)"
24,Mizoram,Aizawl,23.7271,92.7176,"Aizawl , formerly known as Aijal, is the capital city and the most populous city of Mizoram, India. It is also the third largest city in northeast India. It is situated atop a series of ridges, with an average elevation of around 1,132 metres above sea level. In 2024, the city has an estimated population of 415,000 people. Having served as the capital of the British Lushai Hills from 1898 to 1947, colonial structures are p... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Aizawl)"
24,Mizoram,Champhai,23.4567,93.3281,"Champhai is the third largest town in Mizoram, northeast India and is one of the oldest settlements founded by the Mizo people that initially served as a capital for the Hmar dynasty. Located near the India–Myanmar border, it facilitates cross-border trade and serves as a hub for trade and commerce in the region. Unlike most urban places in Mizoram, Champhai is situated in a valley and on top of a small hill. It is situated at an elevation of approximately 1,678 meters above sea lev... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Champhai)"
24,Mizoram,Blue Mountain,22.95,93,Blue Mountain may refer to:... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Blue_Mountain)
25,Nagaland,Dimapur,25.9041378,93.7177609,"Dimapur is the largest city and municipality in the Indian state of Nagaland. As of 2024 , the municipality had a population of 172,000. The city is the main gateway and commercial centre of Nagaland. Located near the border with Assam along the banks of the Dhansiri River. Its main railway station is the second busiest station in Northeast India.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Dimapur)"
25,Nagaland,Kohima,25.6618755,94.1019156,"Kohima is the capital of Nagaland and a center of Naga culture and heritage. The city is known for the Hornbill Festival, which showcases the traditions, dances, and crafts of the Naga tribes. Kohima is also significant for its World War II cemetery, commemorating the Battle of Kohima, and for its vibrant local markets, traditional festivals, and indigenous cuisine. The city plays a key role in preserving and promoting the unique cultural identity of Nagaland."
25,Nagaland,Mokokchung,26.3246,94.5186,"Mokokchung is a municipality in the Mokokchung District of the Indian state of Nagaland. It serves as the district headquarters as well as the main urban hub of Mokokchung District. Mokokchung is the cultural nerve centre of the Ao people and is economically and politically the most important urban centre in northern Nagaland. The town is made up of 16 wards, of which Kumlong, Sangtemla, Alempang and Yimyu are the largest.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Mokokchung)"
25,Nagaland,Mon,26.75,95.1,"Mon is a town located in the Mon District of the Indian state of Nagaland.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Mon,_Nagaland)"
25,Nagaland,Tuensang,26.2342107,94.741553,"Tuensang is a town located in the northeastern part of the Indian state of Nagaland. It is the headquarters of the Tuensang District and has a population of 36,774. The town was founded in 1947 for the purpose of administrating the erstwhile North Eastern Frontier Agency that comprised the present day districts of Tuensang, Mon, Longleng, Kiphire, Noklak and Shamator. Today, these six districts combined are also known as 'Eastern Nagaland'.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Tuensang)"
25,Nagaland,Zunheboto,26.0123802,94.5123719,"Zünheboto , also known as Zünhebo, is a town located in the Indian state of Nagaland. Zünheboto is inhabited by the Sümi Nagas. It is the location of one of the largest Baptist church in Asia, the Zünheboto Sümi Baptist Church.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Z%C3%BCnheboto)"
25,Nagaland,Phek,25.6514473,94.3809788,Phek is a town located in the south-eastern part of the Indian state of Nagaland. It is the administrative seat of Phek District.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Phek)
25,Nagaland,Peren,25.4502306,93.6001154,"Peren is a small town in the Indian state of Nagaland. It is the district headquarters of the Peren District. Zeliang Nagas are the main inhabitants of Peren.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Peren,_Nagaland)"
25,Nagaland,Longleng,26.4986,94.8,Longleng is a town and the district headquarters of the Longleng District of Nagaland. The town is inhabited by the Phom Nagas with Phom as the main dialect spoken by the people.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Longleng)
25,Nagaland,Wokha,26.0986,94.2672,"Wokha is a town and municipality in the Indian state of Nagaland. It is the headquarters of Wokha District and is located about 75 km north of the state capital, Kohima. Wokha literally means head count or census in the Lotha language. It has a population of 35,004 and is predominantly inhabited by the Lotha Nagas. Wokha is culturally significant for its vibrant Lotha Naga traditions, festivals like Tokhu Emong, and traditional crafts. The region is known for its scenic beauty, agricultural practices, and as a center for Lotha Naga heritage and identity."
25,Nagaland,Kipheri,25.8764,94.7769,"Kiphire is a town and the headquarters of Kiphire district in Nagaland, India. It is inhabited by various Naga tribes, including the Sangtam, Yimchunger, and Sumi. Kiphire is culturally important for its traditional festivals, indigenous customs, and as a gateway to Mount Saramati, the highest peak in Nagaland. The area is known for its natural beauty, tribal heritage, and unique local crafts."
26,Odisha,Puri(HotelOccupancy),19.8135,85.8312,"Puri is a coastal city in Odisha, India, famous for the Jagannath Temple, one of the Char Dham pilgrimage sites for Hindus. The city is renowned for its annual Rath Yatra (Chariot Festival), vibrant beach culture, and as a center for Odia art, music, and dance. Puri plays a vital role in the spiritual and cultural life of Odisha and attracts millions of pilgrims and tourists every year."
26,Odisha,Nandagiri,20.1833,85.8333,"Nandagiri is a village in Odisha, India. While not widely known for major monuments, it is representative of the rural cultural landscape of Odisha, with traditional festivals, local crafts, and agricultural practices reflecting the region's heritage. The village contributes to the preservation of Odia folk traditions and community life."
26,Odisha,Konark (ASI Ticket Entery},19.8876,86.0945,"Konark is renowned for the Sun Temple, a UNESCO World Heritage Site and one of the most famous Brahman sanctuaries in India. Built in the 13th century by King Narasimhadeva I of the Eastern Ganga dynasty, the temple is designed as a colossal chariot dedicated to the Sun God, Surya. It is celebrated for its intricate stone carvings, architectural grandeur, and historical significance, representing the pinnacle of Kalinga architecture and Odisha's rich cultural heritage."
26,Odisha,Chandaneswar,21.6288834,87.4576325,"Chandaneswar Temple is a famous Shiva temple located in Chandaneswar, Baleswar district of Odisha, India. A huge annual fair on the Pana Sankranti , the first day of the Odia calendar, is celebrated on the premises. Many Indian pilgrims visit the temple during this period.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Chandaneswar_Temple)"
26,Odisha,Dhauli,20.1892094,85.844003,"Dhauli or Dhauligiri is a hill located on the banks of the river Daya, 8 km south of Bhubaneswar in Odisha, India.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Dhauli)"
26,Odisha,Aradi,20.8121138,86.6550532,"Aradi may refer to: Aradi , a diocese in the early African church False name assumed by János Bartl... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Aradi)"
26,Odisha,Sambalur,21.4668712,83.9811665,"Sambalpur is a city in western Odisha, India, known for its rich cultural heritage, Sambalpuri sarees, folk music and dance forms like Dalkhai and Sambalpuri. The city is also famous for the Samaleswari Temple, dedicated to the presiding deity of the region, and for its role in the freedom movement. Sambalpur is a center for Odia literature, traditional crafts, and festivals such as Nuakhai."
26,Odisha,Rourkela,22.2309255,84.8678705,"Rourkela is a planned city located in the northern district Sundargarh of Odisha, India. It is the third-largest Urban Agglomeration in Odisha after Bhubaneswar and Cuttack. It is situated about 328 kilometres west of the state capital Bhubaneswar and is surrounded by a range of hills and encircled by the rivers Koel, Sankha, & Brahmani. The city is also popularly known as Ispat Nagar and Steel City of Odisha as well. One of the largest integrated steel plants set... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Rourkela)"
26,Odisha,Dhabaleswar,20.1923244,85.8402492,"Dhabaleswar Temple is dedicated to the worship of Lord Shiva. It is situated at a distance of 27 km from the city of Cuttack, Odisha, India, on the riverine island of Lord Dhabaleshwar. The temple, located on an island on River Mahanadi, is embellished with stone carvings that date back to the early 10th and 11th century. The serene ambiance, in which the temple is situated, inspires spiritual feeling among one and all.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Dhabaleswar_Temple)"
26,Odisha,khandagiri and Udayagiri,20.2333,85.8167,"Khandagiri and Udayagiri are twin hills in Bhubaneswar, Odisha, famous for their ancient rock-cut caves. These caves were carved during the reign of King Kharavela in the 1st century BCE and are significant for their Jain heritage, inscriptions, and intricate carvings. The site reflects the religious tolerance and architectural achievements of ancient Odisha and is an important pilgrimage and archaeological site."
26,Odisha,Chandipur,21.4338527,86.9745106,"Chandipur is a resort town in Balasore District, Odisha, India. The town is located on the shore of Bay of Bengal and is approximately 16 kilometers from Balasore Railway Station. Chandipur beach is unique in a way that the water recedes up to 5 kilometers during the low tide. Due to its unique circumstances, the beach supports biodiversity. Horseshoe crab is also found here on the beach towards Mirzapur, the nearby fishing market and community at the confluence of the Budhabalanga River (Balara... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Chandipur,_Odisha)"
26,Odisha,Remuna,21.5427309,86.8551803,"Remuna is a town and a notified area committee in Baleswar district in the Indian state of Odisha. It is famous for the Khirachora Gopinatha Temple, a significant pilgrimage site for Vaishnavites. The temple is renowned for its unique offering of 'khira' (sweetened condensed milk) and is associated with legends from the life of Lord Krishna. Remuna plays an important role in the religious and cultural traditions of Odisha."
26,Odisha,Nrusinghnath,21.8302,83.5872,"Nrusinghnath is a pilgrimage site in Odisha, known for the ancient Nrusinghnath Temple dedicated to Lord Nrusingha (Narasimha), an incarnation of Vishnu. The temple is located at the foot of Gandhamardan hills and is associated with local legends and folk traditions. The area is also known for its scenic beauty, waterfalls, and as a center for tribal culture and festivals."
26,Odisha,Kapilas,20.5572991,85.9930663,"Kapilas is famous for the Chandrasekhar Temple, dedicated to Lord Shiva, situated atop the Kapilas hill near Dhenkanal, Odisha. The temple is an important pilgrimage site, especially during Maha Shivaratri, and is associated with various legends and local traditions. The site offers panoramic views and is significant for its religious, historical, and ecological importance."
26,Odisha,Gupteswar,18.7161548,82.8476588,"Gupteswar is a cave shrine dedicated to Lord Shiva, located in the Koraput district of Odisha. The temple is situated inside a limestone cave on a hill surrounded by dense forests and is an important pilgrimage site, especially during the festival of Shivaratri. Gupteswar is also significant for its association with tribal culture and local folklore."
26,Odisha,Taratarni,19.3667,84.9833,"Tara Tarini is a famous temple dedicated to the twin goddesses Tara and Tarini, located on the Kumari hills near Brahmapur in Odisha. It is one of the oldest pilgrimage centers of mother goddess and is considered a Shakti Peetha. The temple is a center for Tantric worship and attracts devotees during the Chaitra Mela festival. The site is significant for its religious rituals, scenic beauty, and cultural traditions."
26,Odisha,Paradeep,20.2797383,86.6122727,"Paradeep, also spelled Paradip , is a major industrial seaport town and municipality, nearly 80 km from Cuttack city, in Jagatsinghpur district of Odisha, India. Paradeep was constituted as an NAC on 27 September 1979 and converted into a municipality on 12 December 2002. The nearest commercial airport is Biju Patnaik International Airport. The municipality comprises five Revenue Villages, namely Udachandrapur, Chauliapalanda, Sandhakuda, Bijayachandr... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Paradeep)"
26,Odisha,Pipli,20.108828,85.8343748,"Pipli is a village in Gaighata CD Block in Bangaon subdivision of North 24 Parganas district in the state of West Bengal, India. In Odisha, Pipili is famous for its appliqué handicrafts, which are used in temple festivals and processions, especially for Lord Jagannath in Puri. The town is a center for traditional crafts and plays a vital role in preserving Odisha's folk art and cultural heritage."
26,Odisha,Ghatagaon,21.3927559,85.894962,"Ghatagaon is known for the Maa Tarini Temple, a major pilgrimage site in Odisha. The temple is dedicated to Goddess Tarini, who is revered as the presiding deity of many Odia communities. The site is associated with local legends, traditional rituals, and attracts thousands of devotees, especially during festivals like Chaitra Parba."
26,Odisha,Hirakud,21.4798269,83.905355,"Hirakud is a small township located in Sambalpur in Odisha. It was a Notified Area Council which was later included along with Burla in Sambalpur city to become a Municipal Corporation. This city is a hub of HINDALCO, an Indian aluminium and copper manufacturing company. Hirakud Dam, is one of the most visited tourist spot. It is one of the longest and largest dams in the world. It is constructed across the Mahanadi river between the Gandhi Minar in North and the Nehru Minar in the South,... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Hirakud)"
26,Odisha,Gopalpur,19.2598878,84.9051656,"Gopalpur is a coastal town and a Notified Area Council on the Bay of Bengal coast in Ganjam district in the southern part of Odisha, India. It's a port town with beautiful sea beach. Gopalpur is around 15 km from Berhampur. The town is known for its colonial history, maritime heritage, and as a popular tourist destination for its serene beaches and cultural festivals."
26,Odisha,Sanaghagara,21.4935,85.6292,"Sanaghagara is a scenic waterfall and picnic spot located near Keonjhar in Odisha. The area is significant for its natural beauty, biodiversity, and as a recreational destination. Sanaghagara is also associated with local tribal culture and traditional festivals."
26,Odisha,Kendrapra,20.5,86.42,"Kendrapara is a town in Odisha known for its proximity to the Bhitarkanika National Park, which is famous for its mangrove forests, estuarine crocodiles, and rich biodiversity. The region is also culturally significant for the Baladevjew Temple, traditional festivals, and as a center for Odia folk traditions."
26,Odisha,Huma,21.2818796,83.9130206,"Huma is a village in Odisha, India, famous for the Leaning Temple of Huma, dedicated to Lord Shiva. The temple is unique for its tilted structure and is an important pilgrimage site, especially during Shivaratri. The site is associated with local legends and is significant for its architectural peculiarity and religious importance."
26,Odisha,Khiching,22.0722,86.1367,"Khiching is an important pilgrimage village of Bhanja rulers, located in Panchpir subdivision. Khiching is located about 50 km east of Keonjhargarh town 24 km west of Karanjia.There are several villages in the vicinity, including Sukruli, Kesana, Naupana, Kakharupana, Salabana, Viratagada, Kichakagada. Another nearby village is Singda. The major festival in Khiching is Sibaratri, which is celebrated over seven days. The major tourist attraction of Khiching is the Temple Of Maa Kichakeswari. The... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Khiching)"
26,Odisha,Banki,20.3924025,85.605338,"Banki is a town and a Subdivision, Legislative Council constituency no. 88 and Notified Area Council in Cuttack district in the state of Odisha, India. Banki is known for the Charchika Temple, dedicated to the deity of Chamunda, the eight armed goddess and incarnation of Durga. In the 2024 Odisha Assembly elections current MLA of Banki is Devi Ranjan Tripathy.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Banki,_Odisha)"
26,Odisha,Jajpur,20.8746788,86.1215393,"Jajpur is a town and a municipality in Jajpur district in the Indian state of Odisha. It was the capital of the Kesari dynasty, later supplanted by Cuttack. It is the headquarter of Jajpur district. The town is also known for the Biraja Temple, an important Shakti Peetha, and for its historical significance as a center of ancient Odia culture and learning."
26,Odisha,Sitabinji,21.4858,85.6292,"Sitabinji is a village in Odisha known for its ancient rock-cut caves and fresco paintings, especially the Ravan Chhaya mural, which is considered one of the earliest examples of Indian mural art. The site is significant for its archaeological, historical, and cultural value, reflecting the region's artistic heritage."
26,Odisha,Deokund,20.8833,84.0167,"Debakunda or Devkund is a naturally created pond located in the Mayurbhanj district of Odisha, India—a part of the Simlipal National Park. The flowing water from an adjacent waterfall has created this pond. There is a temple dedicated to Goddess Ambika, which was built by Rajkumar Prafulla Chandra Bhanja Deo, a researcher and a king during British Raj who stayed at Devkund and researched about this place and Found Goddess' idol in a sleeping posture above the Waterfall. The temple is located at... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Debakunda)"
26,Odisha,Raghuprrapur,19.9,85.8333,"Raghurajpur is a heritage crafts village in Odisha, famous for its Pattachitra painters and Gotipua dance troupes. The village is recognized for its traditional art forms, including palm leaf engraving, wood and stone carving, and papier-mâché. Raghurajpur is a living museum of Odia folk art and plays a vital role in preserving and promoting the state's cultural heritage."
26,Odisha,Taptapani,19.4849637,84.3932684,"Taptapani is famous for its hot sulfur water spring, present in Sanakhemundi Block of Ganjam district in Odisha state. But, the nearest town is Mohana, which about 18 km away in Gajapati district.... [Read more on Wikipedia](https://en.wikipedia.org/wiki/Taptapani)"
